0,1,2,3,4,5,6,7,8,9,10,11,class
0.43525204,0.39491802,0.39441326,0.43092376,0.48153737,0.53296477,0.50400245,0.52084935,0.5470878,0.5550766,0.5406921,0.5131812,5
0.4294426,0.34995052,0.3279142,0.3218983,0.30231577,0.34741637,0.40426323,0.44190505,0.40290582,0.45007652,0.5365387,0.52984816,5
0.5205726,0.4375799,0.41642419,0.43162084,0.51536405,0.551089,0.5241101,0.4925149,0.4811369,0.51542026,0.5231964,0.5543964,5
0.27838668,0.25261337,0.29444438,0.3117518,0.29473606,0.30441645,0.365768,0.504069,0.52997434,0.5026027,0.45393255,0.36292478,5
0.4710204,0.43352944,0.4643825,0.4308947,0.45275298,0.5102101,0.52482927,0.5185051,0.51172423,0.5532833,0.54113597,0.47280326,5
0.42377108,0.35263932,0.33617806,0.3149152,0.42299342,0.44152355,0.42703113,0.4254377,0.44481584,0.47304696,0.48854867,0.48804232,5
0.3807974,0.32405743,0.34369174,0.41252956,0.47946438,0.45292538,0.42286235,0.4457268,0.4193172,0.38387448,0.44702262,0.49092036,5
0.33774188,0.29609033,0.3085155,0.3261569,0.44401136,0.45108956,0.4124634,0.39121166,0.438931,0.49517065,0.44595876,0.39757907,5
0.397184,0.34498286,0.328863,0.3437829,0.37997594,0.39514366,0.41007626,0.45450172,0.5012383,0.50019264,0.49730825,0.45377147,5
0.41148227,0.36439335,0.31462854,0.33895805,0.39990073,0.35297927,0.33544025,0.370205,0.444154,0.5432624,0.5801268,0.5478755,5
0.41763335,0.4089018,0.31330276,0.2936633,0.25947177,0.3242797,0.35834208,0.36392546,0.4228625,0.42684895,0.4478999,0.41185334,5
0.41548327,0.33354896,0.34743747,0.3579795,0.3833844,0.4061238,0.37628156,0.37814498,0.44286487,0.5100909,0.6000964,0.49488017,5
0.45462906,0.30798218,0.27393702,0.31351188,0.34749988,0.33843118,0.34828764,0.39101747,0.46351093,0.50530136,0.4940535,0.47184289,5
0.3967109,0.33669403,0.29187113,0.31793684,0.32828152,0.48871806,0.4838274,0.5144669,0.58542264,0.5412552,0.49912477,0.40741763,5
0.37405735,0.2929127,0.2809995,0.29978782,0.38654745,0.47834253,0.5090714,0.5410512,0.50556076,0.532971,0.6178356,0.52440614,5
0.35872617,0.3586495,0.3935336,0.4086967,0.42111188,0.44051498,0.4185356,0.4254968,0.51374036,0.55095667,0.48423833,0.43429,5
0.35548759,0.3270077,0.28289753,0.3211908,0.37150943,0.42717442,0.46491128,0.47574946,0.4735043,0.47759286,0.52455896,0.44184065,5
0.42737177,0.3619631,0.3061994,0.32038134,0.31623235,0.32867223,0.38847238,0.39674985,0.4725192,0.47106406,0.48311412,0.5006289,5
0.39921394,0.3444126,0.29974967,0.31247026,0.32669544,0.38685536,0.4102328,0.4152315,0.49807572,0.5604039,0.55680376,0.4867807,5
0.37034196,0.3620451,0.3338417,0.36168912,0.4159124,0.39515427,0.4328095,0.5078238,0.5039307,0.4693335,0.4699816,0.40161577,5
0.35898522,0.32842016,0.29276112,0.30739895,0.3163314,0.3476112,0.36303756,0.4017707,0.4376652,0.48516256,0.6012506,0.47398642,5
0.40392047,0.37587744,0.3698447,0.3609773,0.3724496,0.3571062,0.36609468,0.4221304,0.50821406,0.51610297,0.485771,0.52278966,5
0.41657436,0.35077786,0.36604446,0.37857836,0.38131088,0.36087877,0.3976677,0.4107276,0.4928038,0.5498813,0.5854903,0.5948392,5
0.48793098,0.3878266,0.38911214,0.4265275,0.4843494,0.4661713,0.4522933,0.4855877,0.56672347,0.5752618,0.55909777,0.5626922,5
0.50803745,0.46073312,0.44360843,0.5340443,0.61313254,0.6529188,0.52357024,0.48165333,0.501972,0.53199023,0.59577096,0.54843694,5
0.44975805,0.40692726,0.4084541,0.43340838,0.49117333,0.48652926,0.52255243,0.555463,0.55267686,0.56767744,0.5367577,0.4932506,5
0.41383407,0.39812616,0.33057645,0.3000858,0.3136155,0.31979787,0.34351733,0.38898522,0.48615178,0.52191985,0.48095044,0.460712,5
0.3738511,0.3124756,0.3124791,0.28694516,0.34384456,0.39263293,0.37650445,0.46571416,0.5472227,0.6028238,0.497925,0.4173666,5
0.39297476,0.41574788,0.39099386,0.3967143,0.4089884,0.43587092,0.54131603,0.5459565,0.55251354,0.53520656,0.46230543,0.41069466,5
0.43645173,0.3928007,0.39077786,0.43054923,0.4510772,0.4133318,0.4335473,0.5223212,0.5646627,0.62285686,0.5962521,0.5224963,5
0.36997455,0.29317352,0.25538275,0.33437833,0.37084863,0.39304098,0.37201333,0.43754664,0.53225553,0.566221,0.5727706,0.46711168,5
0.35745043,0.27733454,0.2850605,0.27760345,0.379416,0.37118497,0.36947644,0.4639698,0.48951554,0.5121802,0.5193405,0.46790704,5
0.46718153,0.3957039,0.35814664,0.35364679,0.34744868,0.36371428,0.36833468,0.42636624,0.5589964,0.54799825,0.5756479,0.54388815,5
