0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,class
-206.0317,88.87354,-49.06684,56.26986,-45.655815,18.969082,-34.437057,-2.9560356,-10.375079,-9.312013,3.3872094,-15.653709,7.2848973,-12.105607,4.0947695,-10.2817135,-1.4577022,-2.4891918,-5.715198,-0.46626225,-7.5046163,0.6671172,-7.596941,-0.23234813,-5.073857,-0.6114187,-0.57438415,-0.12029311,2.6676455,0.7517136,4.801714,0.644683,4.659346,1.1901344,2.206917,0.9866327,1.3741069,1.7308812,0.7844086,2.6141503,5
-198.92809,91.52099,-43.080925,54.399715,-42.180275,8.950236,-29.679546,-5.0193033,-10.418871,-11.946801,0.87533677,-16.5699,4.012481,-10.75521,2.806503,-10.4932165,-3.0889022,-1.9628489,-7.806957,-0.8633546,-7.6660366,-1.0519333,-7.3620176,0.13583572,-3.3884792,0.5990714,3.0563262,2.0435562,5.8699975,2.7499666,5.126726,0.03780526,2.8693082,1.4263873,3.4382305,3.2080708,2.1805108,2.0627944,-0.9011862,1.2869428,5
-209.89188,81.909256,-42.140087,53.37098,-44.005524,16.602411,-33.834972,-3.033007,-12.119729,-9.635481,2.3807776,-16.821411,5.9390116,-10.567319,4.8506165,-11.066166,-1.2559788,-1.0453463,-6.15263,0.19856638,-4.594938,0.4556355,-7.362353,1.3190951,-4.5236673,-0.017353792,0.9271307,0.09533228,1.4277996,-1.0367813,1.9748085,-2.0617495,2.3205826,-0.043354623,1.7598053,0.68090636,1.7078279,3.0786114,2.3141382,3.7992158,5
-190.80066,102.479225,-49.630226,56.69943,-45.93314,14.813222,-33.905304,-4.87918,-14.648429,-10.302199,-0.0988707,-18.35252,6.0062747,-11.250334,4.2773304,-12.908245,-2.1353843,-3.0597463,-7.342314,-1.664149,-7.2066016,-0.066784725,-8.417596,-0.5943269,-6.8391585,-2.3784227,-1.62612,-0.7519517,2.749903,2.3034604,6.8005047,4.2307034,9.02784,5.9999084,6.6353507,3.2856998,2.9922152,1.9660143,0.020657897,0.7856099,5
-200.56418,88.95525,-45.714737,51.3431,-45.36504,17.94752,-30.781374,-1.9127438,-11.592213,-10.270707,3.5926068,-16.85668,5.1676307,-10.864358,3.9432602,-11.011311,-1.90214,-2.0358913,-5.909033,0.21494791,-6.2589164,0.81670266,-6.512593,0.73360413,-4.5751257,-0.5510737,-0.6307994,-0.18252091,2.687411,0.05850852,4.3277507,-0.18268391,3.178033,0.67642176,2.806267,2.0085285,2.192386,2.6243818,0.11938556,1.498165,5
-187.89034,94.23504,-43.16795,61.185944,-46.347645,16.364712,-37.206707,-3.3386629,-14.165719,-11.212831,0.7410573,-17.85919,6.3200364,-11.340013,5.111777,-12.405483,-1.6600633,-2.9772582,-6.7254786,-2.1548812,-7.859625,-0.5225117,-8.376005,0.59651715,-4.8580647,1.2803994,1.1534587,1.1482586,3.0526106,1.492613,4.399291,-0.5547324,3.0712864,-0.22524641,2.1922092,0.25673512,1.8781506,2.7113593,2.2563422,4.1390247,5
-183.20276,101.967674,-43.123386,55.374622,-50.93295,18.202206,-35.02094,-3.3492541,-15.225382,-10.607733,2.355487,-18.846203,5.7609115,-11.392597,5.125873,-11.646394,-1.8841202,-2.63903,-6.228877,-2.4705846,-7.3945436,-0.2103409,-8.142247,1.3853177,-5.390353,0.39318714,0.40524825,-0.056565095,1.0627092,-1.7073162,1.7505347,-2.346571,2.654147,0.22539759,3.1123896,1.289831,1.6646754,2.0102623,0.99106276,3.6773663,5
-212.63086,92.80494,-43.054134,53.918118,-42.894535,11.305617,-32.842194,-4.710996,-10.768996,-10.864227,0.23297979,-17.93949,5.1151423,-10.220946,3.4585242,-11.336901,-2.6780066,-2.2897546,-8.245837,-1.8372535,-7.0884376,-0.14809497,-7.418348,1.0344657,-4.045728,-1.234876,-0.6964872,-1.7179202,2.3589315,0.40780666,4.680997,0.34992763,2.9904704,0.49597955,0.9784847,-0.16172265,0.94079983,3.0561068,2.645811,5.570026,5
-206.36127,92.74107,-44.53637,55.142975,-41.596317,11.581408,-33.011982,-5.727753,-11.352707,-11.477732,0.8135891,-16.87643,4.9876714,-10.75755,3.6793697,-10.434732,-2.4823537,-1.9692609,-7.2974596,-1.1952714,-7.473645,-0.21643136,-7.5720243,0.1587517,-3.9256744,-0.7677767,0.6391873,0.21828605,3.8314078,1.9692324,5.6977944,1.4725585,4.574864,1.5509939,2.2177708,1.1541691,1.1351467,2.1232946,0.07355645,1.7968343,5
-174.95123,94.99171,-44.894783,53.842793,-46.54021,13.742747,-32.926308,-4.8095627,-13.1419115,-11.274363,2.0691092,-16.040224,5.8860383,-11.255162,3.54533,-12.435081,-2.6355226,-2.8571537,-7.8478312,-1.0941474,-6.965614,0.06312734,-8.682213,-0.41142914,-5.1430902,-0.6418811,2.3469331,2.9457831,6.4170833,5.403853,9.190932,4.1083274,6.1568055,0.50872165,0.26944327,-0.91923815,-0.44723144,0.36317128,-1.2834426,0.64402026,5
-180.76735,92.35387,-41.11269,52.860603,-43.916573,12.484234,-31.25374,-5.4556327,-13.446807,-10.647747,1.1389685,-17.459587,5.5963383,-10.715716,2.9095027,-11.296931,-2.9900937,-2.899271,-7.7176456,-1.865693,-8.314455,-0.7148478,-6.8170314,2.0968673,-0.9171064,3.7978308,4.3820133,2.148548,4.002255,1.01638,4.5203648,1.1635548,4.5400467,0.84121037,1.7654202,1.451546,1.7038264,2.3927886,0.4332716,1.8128471,5
-218.29669,93.542145,-40.704994,49.835747,-50.55262,15.874881,-32.95888,-3.6090221,-13.259226,-9.667194,2.2273803,-16.416681,6.947628,-10.654531,4.330188,-12.349663,-2.191622,-2.6585743,-7.2027864,-1.2986218,-7.344386,-0.4412916,-8.2024555,-0.5868376,-5.1972985,0.45289147,1.6452185,3.5229044,7.417536,6.007222,8.289089,1.6782826,3.7590768,-0.06633188,2.057544,1.0260932,1.1899359,0.721281,-1.4801121,0.4793733,5
-174.86185,105.75064,-47.393,55.748688,-46.204166,13.185705,-33.759007,-7.73839,-15.502378,-11.891778,1.359194,-18.021198,5.9629707,-9.8054085,3.871398,-11.864892,-2.4017057,-2.940645,-7.259567,-1.8504846,-8.824075,-1.5306376,-9.684566,-0.8600257,-4.9044538,0.23758698,2.2791684,2.8981264,5.538141,2.6349685,5.9705935,1.795457,5.788798,1.8445055,2.169654,-0.6887526,-0.61942255,1.0568672,-0.16034578,1.3306623,5
-190.22186,101.41501,-41.80048,49.651608,-49.267525,15.787087,-33.068718,-5.7649474,-14.256584,-10.597725,2.5026815,-17.075603,7.52373,-10.600352,3.3549368,-10.951473,-2.631388,-2.313101,-6.429427,-1.8396974,-7.39797,0.6455469,-8.100537,-0.7031813,-5.7612967,-1.7338309,-1.2035589,-0.6536637,3.141275,1.7181484,6.3055816,2.3067935,5.7598643,1.5283533,2.8910022,2.0901783,2.5896327,4.2828193,2.2610765,3.615315,5
-205.24474,84.25865,-42.082478,54.055984,-40.653893,14.412273,-31.165545,-4.449159,-12.1498,-11.963621,4.0893154,-16.476933,3.4263294,-10.567591,5.171243,-10.584398,-3.0847528,0.0040633767,-6.5061064,-0.9285817,-7.603813,-0.45132735,-9.499063,-2.6823351,-6.0375266,-3.041942,-0.0376982,1.137752,6.3392024,3.9883618,6.9926677,0.84458166,2.97684,1.3008124,2.4893909,1.9189014,1.4376247,2.070823,0.15252218,3.768167,5
-206.30768,96.38402,-46.232773,56.932682,-46.08634,14.88509,-32.26617,-4.42928,-13.0347185,-12.099251,0.44494584,-18.022797,6.138337,-11.334285,3.7363439,-10.683466,-2.2100093,-2.7058852,-6.49301,-0.46059093,-6.7692556,1.6922473,-5.924622,1.5350994,-4.339364,-1.2039895,-1.2828665,-1.4425856,2.3123548,0.8352118,5.1569986,0.9486351,4.7712197,1.6168467,2.5844376,0.8137727,0.81570166,1.5879567,0.38318852,1.9231162,5
