0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
-394.3893,146.11284,10.430731,-2.8835506,6.5810833,-35.030823,-47.779755,-20.386597,-11.060267,-10.626758,-6.1342173,-14.828319,-16.09833,-1.7170286,-6.2692947,-19.461813,-9.755684,-1.4835494,-10.946978,-11.104128,-3.8709352,-8.186431,-10.161411,-4.270684,-5.3305135,-6.4459066,-0.2943177,0.54594725,-1.5555882,2.4265487,2.7781613,-0.8181941,2.7314548,5.258714,-0.07135528,-1.1917588,2.2404966,0.6721079,-0.5339974,2.3076828
-372.15363,142.00255,20.585941,1.5484002,-2.26093,-40.915096,-41.41862,-13.85661,-14.345581,-18.023706,-10.220649,-15.568363,-16.296429,-3.4182336,-8.457247,-19.34582,-9.555,-5.221646,-14.8265295,-10.387913,-2.9093626,-10.654673,-11.671557,-3.0094428,-4.6430216,-5.329719,4.143389,5.653002,1.1814208,4.0427175,3.7242994,-2.3285136,-0.48463273,4.0762334,2.7809377,2.964838,3.4752579,-0.9504158,-1.8235631,1.6887627
-388.22482,137.25122,11.778534,-0.9823824,3.462387,-36.28456,-43.878963,-18.819899,-14.517593,-14.094888,-9.289025,-18.077627,-14.931857,1.5171793,-8.019089,-22.088377,-7.629405,-0.7066498,-13.110102,-7.947168,2.2831998,-8.249496,-12.81366,-3.0877042,-3.7876558,-5.2480936,4.114561,3.666473,-3.9001036,-0.29890218,1.3769548,-4.762863,-1.2598855,5.078372,0.23057608,-2.4778855,2.1223984,1.9383615,0.7388699,3.8353176
-375.26556,171.15663,17.046604,-8.1118765,1.9573249,-32.38884,-43.405632,-22.34342,-15.4363165,-12.242123,-11.422122,-23.627132,-15.745153,5.381622,-8.009746,-27.436094,-11.779921,-1.543663,-14.828603,-12.44993,-1.7778445,-9.19105,-12.636533,-5.0575953,-8.272273,-10.926707,-0.6766105,2.5823886,-1.8404275,1.534776,4.383252,2.714001,6.9691696,9.620403,3.9017243,1.8829451,3.349247,-0.044872727,-1.1410272,1.4993348
-387.52823,143.46869,18.971115,-3.2457373,-2.5297327,-32.34279,-34.090458,-16.715202,-18.607018,-13.771822,-4.451643,-16.091509,-17.277475,-1.0126191,-8.571596,-22.086676,-7.9288673,-0.039226595,-12.420653,-10.45364,-1.6103162,-8.2755375,-10.061334,-2.2569737,-4.685726,-6.791071,0.70746344,0.68657607,-3.2417917,1.970688,3.5098999,-1.8213322,0.24146885,3.7023907,0.33393404,0.5058808,3.5819907,0.78295225,-0.9494472,1.4326478
-380.63626,160.71259,24.83338,4.9211903,3.7912376,-40.627476,-48.494102,-19.9915,-12.463264,-11.736042,-10.225625,-21.894718,-16.60114,3.2072325,-7.643668,-24.460518,-9.042658,-0.24672115,-14.273216,-12.634722,-3.3528259,-11.10587,-12.748335,-2.9553185,-4.609186,-6.2878346,2.2257729,1.3781828,-3.5519059,3.0383036,4.3957257,-3.642,-1.4577802,3.8368027,-0.87308466,-2.2035325,2.4134524,1.0821364,0.28842953,4.487208
-371.21344,175.96149,25.395498,-11.907827,-8.837157,-32.898827,-35.974064,-21.092875,-20.078693,-12.621514,-6.931512,-22.223148,-19.22446,3.8339858,-4.64685,-24.937374,-13.192236,-1.7790171,-11.732259,-11.216242,-4.576153,-11.802137,-12.55838,-3.6329741,-5.9050083,-7.3047104,1.7847922,0.8608631,-6.5740495,-2.8246007,-0.1616663,-4.698965,-1.2842457,4.547246,1.0793517,-1.0949223,1.3788836,-0.4881545,-1.4587351,3.0334115
-385.235,153.01721,17.69697,-1.4629025,0.1776983,-39.52405,-43.28773,-14.764394,-12.554553,-16.594744,-12.301689,-18.359295,-13.818614,1.8749539,-8.926133,-24.00616,-9.435142,-1.5834476,-15.160484,-13.112997,-2.9728343,-9.870578,-11.876379,-1.6933196,-2.830383,-7.7754126,-2.9632113,-2.129811,-4.044336,2.3747754,4.5111375,-1.1149015,-0.035108466,2.314579,-2.2982645,-2.2379558,2.7953916,2.067499,1.6143874,5.732923
-379.09067,147.59456,16.144854,-0.6550083,2.2649329,-38.385193,-45.74418,-18.683918,-13.7015505,-14.873639,-10.5283575,-18.607328,-16.561573,-0.6483975,-7.608795,-20.943945,-9.458153,-3.2443824,-14.082277,-10.716499,-2.5192564,-10.006658,-11.291455,-2.50921,-5.0074186,-7.6573563,0.627012,2.0683217,-1.6134921,3.1750526,4.722732,-0.614407,1.401636,4.751194,0.28028727,-0.684819,2.988937,1.0949199,-0.9922057,1.5948566
-352.92108,158.1005,17.275002,-8.160459,-3.4528642,-36.69639,-43.692844,-21.48352,-16.39979,-14.5107355,-10.286131,-18.382252,-14.407384,-0.33423156,-11.926384,-24.601164,-8.512006,-1.7395829,-15.199454,-11.881387,-2.4448435,-10.906479,-13.420594,-3.748134,-4.556001,-6.0378876,2.8500938,4.2498736,0.888641,7.390801,10.334265,3.9472134,3.102286,3.5306482,-2.4958465,-2.6068912,2.9082994,1.0163655,-2.4462154,-0.421252
-354.39914,151.22884,19.43438,-5.079612,-3.1659927,-35.18306,-40.67855,-20.766138,-17.763298,-15.164425,-10.227484,-19.326729,-16.063587,-0.52545977,-10.159317,-23.44165,-9.441448,-2.4976394,-14.675929,-12.500359,-4.541492,-11.549934,-11.707188,-0.6088229,0.30023873,-0.52871686,5.6857643,3.1953945,-2.8938217,1.8122107,4.9099727,1.3714371,3.3248975,4.66511,-1.118778,-1.2169847,4.1052876,2.7999508,-0.0330294,1.3606632
-396.81448,158.94945,22.022818,-17.855976,-15.174739,-32.51955,-35.963394,-23.13513,-18.443563,-11.013734,-7.714223,-19.968811,-17.451115,-0.83396363,-8.105651,-21.475126,-9.870664,-2.3294172,-13.248724,-13.107906,-5.0559597,-9.072656,-11.200015,-5.1935897,-4.98798,-4.627387,2.0496652,3.7068274,3.5148735,8.558519,7.4877353,0.8695732,1.8814005,3.797562,-0.46653733,-0.33376965,3.230269,0.3140832,-2.514542,0.44311595
-354.9726,172.49493,17.851027,-6.4421415,-0.57621676,-36.84236,-42.605755,-22.168629,-21.642061,-14.341157,-4.8478146,-20.26647,-18.576036,5.4225893,-5.7370176,-28.533995,-12.133344,2.1366355,-12.772466,-14.732993,-4.570737,-10.936467,-14.233177,-5.117077,-5.3909736,-6.6004205,2.919611,4.7862577,-0.89468455,1.3173151,3.3928254,1.3075954,4.503563,5.1988606,-2.005933,-3.6098158,0.50326777,0.31459478,-0.032720726,1.1715446
-364.86246,163.88498,18.722307,-15.06466,-6.9100323,-30.009754,-40.018894,-28.296728,-22.367834,-11.913561,-5.337019,-17.038631,-15.409187,-0.76785564,-11.433484,-24.604486,-8.51632,0.22389854,-13.039002,-12.39877,-3.0439413,-8.983411,-12.526466,-5.9969616,-6.5651674,-6.838206,0.71487904,0.84969825,-2.9368112,1.8440654,4.1508174,0.927411,3.9319324,5.9828553,0.3197736,-0.48963234,3.4205909,2.0514467,1.785454,5.0974174
-378.33133,131.82845,15.416695,9.991108,10.149768,-37.705715,-45.20011,-19.308975,-20.281807,-19.266447,-5.8447146,-14.397223,-18.599194,-0.5725748,-4.770544,-23.718409,-13.688712,0.08146823,-9.244988,-12.426032,-5.4305553,-9.490958,-12.002325,-6.0093675,-7.840797,-9.991902,-1.9151647,2.235308,1.721268,6.341912,6.288252,-0.39962578,-0.21106409,2.6061168,0.5680609,1.9453758,4.654115,0.35132325,-1.8020582,3.2552948
-392.42212,159.30838,20.519325,-5.1585593,-1.5027939,-35.048866,-41.056343,-17.598186,-14.52189,-16.702536,-12.335395,-17.825592,-15.143243,-1.8580207,-9.013552,-20.499247,-9.662954,-3.7946951,-12.556857,-9.238577,-3.0415885,-9.846356,-9.419588,-1.0948176,-4.5715785,-8.429717,-2.3526685,-1.0981483,-2.5763614,2.477798,2.8285942,-1.3005719,2.5858195,5.557238,0.43534163,-0.39392602,2.4612474,-0.20136282,-1.3092433,2.03765
-384.6791,153.30006,17.433878,0.47927257,0.80569494,-39.821198,-41.61948,-16.487822,-18.268578,-15.868544,-6.1569033,-18.99876,-19.563076,0.48749956,-7.9861374,-24.54354,-8.68114,-0.35155314,-15.577789,-11.803604,-0.18401676,-10.893876,-15.883487,-4.2558002,-3.829597,-7.1761117,0.9001851,3.085554,-0.9411071,3.1133237,4.404691,-1.0564593,0.44938114,3.6756651,1.5743449,3.643106,6.0849185,0.6197749,-1.6870742,2.171784
-374.11078,160.60344,11.18824,-0.36781812,4.7234044,-44.343067,-49.748405,-17.324282,-16.083273,-18.142496,-11.174677,-22.510307,-19.114603,4.331957,-6.5386004,-28.598316,-12.596447,-0.2660243,-15.4326935,-14.03074,-2.4275436,-11.833913,-15.609616,-2.710252,-1.8523333,-5.0013733,3.5808504,4.581165,-1.4111927,2.5594802,3.641482,-2.411803,2.173753,8.296125,1.5492631,-2.5277736,1.5690802,0.8688652,-0.34438306,3.1808884
-394.56143,162.65245,7.8002687,-9.559713,2.2794428,-35.907402,-43.78189,-19.61144,-17.708977,-15.366586,-7.7836375,-19.855776,-18.580933,2.0535648,-6.8038025,-25.313683,-11.14512,-0.82243687,-13.769911,-12.346774,-2.9176059,-10.224342,-11.8356495,-2.3853583,-4.844338,-7.504303,1.4274335,2.9683328,-0.18175486,6.009899,7.763729,2.155825,4.655907,7.0132313,0.4497583,-0.5826576,3.8712723,1.5779071,-0.82239956,1.14161
-362.03064,161.61546,14.815943,-7.5222106,2.4713008,-30.754435,-40.854126,-22.234207,-18.667412,-13.329114,-6.3174186,-18.655327,-17.899641,1.8101791,-5.3128853,-23.226074,-12.105531,-2.3142433,-12.938641,-11.841351,-3.373597,-10.152412,-13.222061,-5.113811,-5.3847704,-7.3939257,-1.3050648,-0.67021275,-2.9566476,2.7300014,4.826735,0.18926503,1.4714917,4.2498302,2.0955238,2.7905648,3.6998322,-1.1435993,-2.3138092,1.9336312
