0,1,2,3,4,5,6,7,8,9,10,11
0.38703308,0.3281466,0.3692693,0.3564061,0.42184126,0.47028863,0.4350116,0.44660458,0.46867728,0.49633428,0.47918192,0.45570573
0.40082446,0.31010544,0.29342902,0.26653972,0.23775814,0.2985177,0.3660363,0.3822414,0.34504926,0.41841313,0.5063995,0.4927944
0.49947158,0.38297528,0.38499328,0.35268095,0.4370258,0.4735411,0.45541486,0.4168636,0.39595333,0.48285106,0.4675013,0.49867144
0.2369323,0.21232465,0.25170982,0.26032823,0.25898743,0.2612158,0.3351669,0.4676803,0.49324897,0.47705445,0.42751515,0.33728093
0.4241735,0.3701483,0.43446308,0.36017781,0.37273332,0.4567565,0.45529538,0.44186613,0.434506,0.50441384,0.50871855,0.46191934
0.40932974,0.31622723,0.30214402,0.26317602,0.32049763,0.40327713,0.36863634,0.38409632,0.36802986,0.42406204,0.44307098,0.4713814
0.33328754,0.30125505,0.3298836,0.37785107,0.46436557,0.42278892,0.41150936,0.41356984,0.3863374,0.3612198,0.41091233,0.45693165
0.29881287,0.2684857,0.2789581,0.29950318,0.41526926,0.42149207,0.3761501,0.33645827,0.38941234,0.46080083,0.40908402,0.37032944
0.35326925,0.30430782,0.30092072,0.30576992,0.33763477,0.36473134,0.37386566,0.3995445,0.44579706,0.4659938,0.46207464,0.4107262
0.37232667,0.34085342,0.27082837,0.28909895,0.34565148,0.3058159,0.29673958,0.3303047,0.40705326,0.5202449,0.56337994,0.51530135
0.38698396,0.36355442,0.2815924,0.2456246,0.21885443,0.28672913,0.31343192,0.3280208,0.3885621,0.40434077,0.41684884,0.3782685
0.36800712,0.29854414,0.30125576,0.29524964,0.31676134,0.36962476,0.32892746,0.34756407,0.40131292,0.48162314,0.5594326,0.4436269
0.43588766,0.27917102,0.23668247,0.2724648,0.3043588,0.31401035,0.32357535,0.35812953,0.43475285,0.48596168,0.46878737,0.44470578
0.3428451,0.2889225,0.26008832,0.29575312,0.30499813,0.47214526,0.4499246,0.48849872,0.5460576,0.515048,0.46450174,0.37258518
0.2926512,0.22568013,0.22204368,0.2604803,0.39834633,0.44729528,0.49473917,0.49212268,0.43385607,0.51734555,0.56086326,0.40458673
0.34057835,0.30790347,0.35307586,0.36052066,0.36915034,0.388327,0.3574409,0.34061983,0.4469195,0.5126291,0.4629736,0.41465417
0.315021,0.2834324,0.24912412,0.2647516,0.3227452,0.37380457,0.42522365,0.42284733,0.43889242,0.4315011,0.49099076,0.4240708
0.38871142,0.31830108,0.27118105,0.28758228,0.2732712,0.28854018,0.3544071,0.3600129,0.4486156,0.44770032,0.45986584,0.474325
0.34405148,0.283768,0.25984147,0.25644892,0.29417446,0.3539088,0.3728416,0.38193935,0.48431674,0.5469375,0.507237,0.42225608
0.3286326,0.33235145,0.29900327,0.3121694,0.3644258,0.36721286,0.3801554,0.45294526,0.48501858,0.45616063,0.4335487,0.37613815
0.34856892,0.30752337,0.25267383,0.2717869,0.26508316,0.31444708,0.31348586,0.3518027,0.39706093,0.4246828,0.5512562,0.49364278
0.36479163,0.3382303,0.34326056,0.3224116,0.31040406,0.32034576,0.33511642,0.38226768,0.47345868,0.49487314,0.46878576,0.4790213
0.37681013,0.27832586,0.33221397,0.323568,0.30775937,0.28797337,0.31155124,0.34383506,0.43134582,0.4978665,0.55284095,0.5664775
0.46599323,0.36486283,0.333776,0.37476197,0.42616147,0.42812762,0.39935395,0.4056933,0.497799,0.56510353,0.53909147,0.5410315
0.40425482,0.3553453,0.4193521,0.46197423,0.5788459,0.5051638,0.4311931,0.3710658,0.4271932,0.4984651,0.5411082,0.5184558
0.38552934,0.36504087,0.37510905,0.37584913,0.41621658,0.4294261,0.47394693,0.5025972,0.48692405,0.5317977,0.4795311,0.44531015
0.3806652,0.36223793,0.30075625,0.24548937,0.25506666,0.27579778,0.3116314,0.34751248,0.4453006,0.49687374,0.4493176,0.4411621
0.31135565,0.2672004,0.26331815,0.24241202,0.30358943,0.3506501,0.34278,0.4404334,0.5227982,0.56770617,0.44180328,0.35745847
0.37118882,0.36131287,0.34637392,0.33790317,0.33497617,0.38508546,0.48129845,0.48273146,0.4936849,0.5124766,0.41653714,0.36327982
