0,1,2,3,4,5,6,7,8,9,10,11
0.3998491,0.32557997,0.3750439,0.36445987,0.4328996,0.4625688,0.42860195,0.4630555,0.4826088,0.5113824,0.5118581,0.49534515
0.3856983,0.2893637,0.30232534,0.24956547,0.2456449,0.31001213,0.3751217,0.384513,0.35715818,0.4468956,0.5378264,0.50133
0.48762235,0.37365437,0.40017453,0.3481334,0.43955404,0.47448567,0.45906702,0.43243313,0.4108445,0.48401585,0.49292284,0.5352789
0.26338574,0.21289961,0.24374709,0.2624296,0.2691451,0.26222038,0.30779535,0.44775382,0.5017787,0.48358932,0.45629802,0.376449
0.4429728,0.3772519,0.4282603,0.39645755,0.36181673,0.44724682,0.44428697,0.445477,0.45128694,0.49410403,0.5282984,0.4919356
0.39343336,0.30420837,0.30307913,0.26221898,0.3638894,0.39588624,0.38360426,0.38866788,0.3992251,0.44234318,0.47010592,0.4855087
0.33207917,0.27916154,0.32697764,0.37332085,0.45958576,0.3944409,0.40445304,0.4078847,0.3669796,0.37217388,0.4340461,0.45208892
0.32526895,0.26576066,0.2616404,0.2896299,0.3782711,0.43652588,0.39747077,0.35376787,0.40049013,0.4794209,0.4435299,0.38759875
0.3764177,0.30871713,0.30435905,0.304379,0.33127305,0.36316523,0.36519712,0.41744557,0.45793477,0.4718237,0.48503473,0.44618502
0.38116997,0.33167467,0.27896392,0.29077998,0.352651,0.31660825,0.30113813,0.34163207,0.4091772,0.52090913,0.56921965,0.5336339
0.39198264,0.35687643,0.28089726,0.24461174,0.21914625,0.2932241,0.31238452,0.33612013,0.3949606,0.410721,0.42872968,0.39603215
0.36015517,0.2873826,0.30454677,0.31313536,0.32840946,0.3741809,0.33270064,0.34951738,0.41848302,0.49122116,0.5659057,0.46545583
0.43868873,0.28270587,0.24646582,0.2783218,0.31477237,0.31838185,0.3232778,0.36477408,0.43821412,0.48972753,0.47843862,0.46245962
0.3558763,0.30217317,0.2576421,0.27772632,0.2894856,0.45351443,0.4515661,0.49168614,0.5525846,0.5177355,0.48195186,0.3939607
0.31906968,0.23314266,0.2177339,0.25857604,0.36380428,0.44190788,0.48568025,0.5135956,0.46711507,0.5010798,0.5860784,0.49360508
0.32973593,0.3139033,0.37082684,0.36762074,0.3792915,0.39555827,0.35221782,0.37504694,0.47571054,0.52055985,0.45984295,0.42409402
0.3079318,0.27644768,0.24809182,0.2767025,0.3330845,0.39288118,0.43599856,0.4447666,0.44947648,0.45547053,0.50428236,0.4241877
0.39454982,0.3295635,0.28109503,0.292241,0.28424087,0.29196346,0.3639526,0.37650248,0.4580028,0.4531785,0.47562504,0.48902166
0.36417326,0.29279584,0.26727873,0.2627151,0.29029676,0.35745874,0.37395278,0.38683924,0.48486418,0.5517188,0.5298478,0.4567862
0.3294116,0.31856796,0.29913884,0.3120161,0.3715616,0.35966477,0.39568788,0.4709655,0.4801599,0.45667008,0.45566046,0.38856
0.3501444,0.30621397,0.25364375,0.27101323,0.26696795,0.31293765,0.31984428,0.36590794,0.40713608,0.43986982,0.5710335,0.50570905
0.37816775,0.33283305,0.34386227,0.32348597,0.325924,0.32102475,0.33075798,0.37882206,0.47258285,0.50123066,0.4738729,0.5121062
0.33718997,0.28662726,0.35221103,0.33278528,0.30065295,0.28853878,0.31918827,0.37688062,0.4598825,0.5075367,0.5863423,0.55249095
0.4506274,0.3581672,0.33178812,0.3679896,0.43541616,0.4435326,0.42035168,0.42721137,0.49773315,0.56275904,0.5443261,0.5644936
0.4405516,0.34928268,0.43805945,0.47262734,0.59702486,0.5856002,0.48390773,0.41953722,0.45908403,0.5148498,0.59001523,0.5524689
0.40353152,0.3643743,0.38886324,0.37119794,0.4195429,0.43145013,0.47983077,0.5115291,0.4999943,0.54850805,0.49578658,0.4716982
