0,1,2,3,4,5,6,7,8,9,10,11,class
0.35392556,0.291868,0.31303558,0.35505745,0.46343687,0.47417086,0.44714585,0.4667584,0.47667053,0.45643264,0.49723208,0.46899313,5
0.37625277,0.27677324,0.28549036,0.24756981,0.23088573,0.30153385,0.37918648,0.39637423,0.3605743,0.43657732,0.5473898,0.49854985,5
0.48800537,0.36684257,0.35273144,0.31907406,0.41485122,0.5353099,0.54111487,0.4709109,0.389734,0.40873298,0.4343439,0.47112378,5
0.2521005,0.19912142,0.23192391,0.25752005,0.27036777,0.2592669,0.2805244,0.43820256,0.50918907,0.4731244,0.46711895,0.36120975,5
0.36682963,0.31193125,0.37633497,0.32287017,0.3205386,0.4771403,0.4430662,0.44750446,0.39375797,0.4601689,0.46813443,0.41848463,5
0.38670012,0.3019037,0.29380488,0.25688985,0.37911093,0.40385753,0.3946438,0.37273836,0.39859408,0.4337463,0.44383678,0.4755321,5
0.3296363,0.28515497,0.30820274,0.3501361,0.44424123,0.41341376,0.40977708,0.4189487,0.38016933,0.34098276,0.4117288,0.47496596,5
0.28346252,0.24195984,0.25553292,0.28395385,0.41819683,0.43820292,0.41074798,0.34922117,0.40207767,0.46609613,0.39761737,0.3612842,5
0.34295902,0.27588156,0.273107,0.2709329,0.3412251,0.3497189,0.36211896,0.41736683,0.4659561,0.4498242,0.4484593,0.41401216,5
0.3716095,0.3226597,0.26336023,0.30293527,0.37068498,0.33326873,0.29158387,0.34284484,0.4314476,0.5229914,0.56191796,0.53236246,5
0.396454,0.36823857,0.27196723,0.24068168,0.21257067,0.2897802,0.32788175,0.34685886,0.40571448,0.40408495,0.4256551,0.39186677,5
0.3800498,0.28816012,0.3011335,0.30705643,0.31097546,0.3773926,0.33617088,0.34188798,0.39156508,0.46262813,0.5940431,0.49327454,5
0.4405003,0.2571165,0.24753255,0.28579256,0.32157835,0.3071171,0.3353373,0.37037128,0.45930636,0.4925136,0.47093034,0.47053683,5
0.36251655,0.3157102,0.2713102,0.284615,0.28450206,0.44980136,0.46360075,0.4948519,0.5824338,0.5139062,0.49351457,0.38384247,5
0.30627128,0.21893282,0.20044722,0.22751464,0.37079254,0.4635881,0.4693992,0.50633645,0.4631705,0.45975006,0.5716362,0.49289542,5
0.28281406,0.2718861,0.33202413,0.35927585,0.37971067,0.40197125,0.35697845,0.39043835,0.5081123,0.5184266,0.42196485,0.3843131,5
