track,algorithm
7b0f8df28f98bdcd65e48d4799c1f98f.wav,5
211fbbdb342c2bbbac43fd4c908e239a.wav,5
807587f93df68fd50120fa1f3684b5ec.wav,5
78724d807be41abdd1a4d661d6535d1f.wav,5
86195fbf1d21aeeb9a956e56dd88f1b6.wav,5
8fa0377cc906aee9ed346cc1b5cb1d3d.wav,5
e699913cdd2a6773623b7027ecd32dfe.wav,5
a24bbf73e353f430dba5c5ff8d651b6a.wav,5
7e05e73230bb5936de69fb5eee9f6762.wav,5
5dee2a367819fd0f948b75da0c906ba4.wav,5
ddb0462b630bef9d8ef9a904332cd168.wav,5
d17beda864a920c4cfb3cf5f6314e4f9.wav,5
ea257773b8411e9f67b1da8de1783d7b.wav,5
eac801a1b61b1b791b8bd40a100a13ee.wav,5
0cd4bd4f83b6a4ddb56fb5529460412c.wav,5
2bf7663f5928b7c2f886815df878c645.wav,5
775a1df569d2cb0bdfcdc9726702af89.wav,5
eb93016941f050ce4dc692e5fc299fcf.wav,5
2aa71320af9065be4897d3203f095798.wav,5
2fff6e1518add5e3d43e2e7ec2426db1.wav,5
994ee9d2452833cf11613b9e95182b1f.wav,5
00c6b37d160c9d23367eb9be63544014.wav,5
bfd1c1366125e03bb5af7911cb2473a5.wav,5
e3ad7d768dcfb280a1238bd0f44ac67c.wav,5
2c62d52e6d53c08b13c186f0becc2a4b.wav,5
531b408c7873074f9dcf7705753b75bc.wav,5
445e402ea834dec160ba421396b498ab.wav,5
40ddf22de64f7469a3d3cd71334346e6.wav,5
d6b9b39b88a80729acf7c0fb89899f9c.wav,5
1ee24c1dc08cb5f72dda6d9811883112.wav,5
f0f5fe438d5123b15ba8528f8a9ddb43.wav,5
1ee2421fa55ee4d281e22e06261037ef.wav,5
7f7dd8e3c378c0a5eb5554cd98a9b94e.wav,5
3a10abb6d0ff1b0a25b87419edf8ea74.wav,5
ffe962b5bd041dcc31e90f5202abc9b5.wav,5
e3ca57842ea4b6873b49c9d29f83e301.wav,5
7f565fc80c17ab3ec4d9261864a0814a.wav,5
19c0f05decd9f65e80fb226c06ff0dc9.wav,5
055e11f7d74c47ca0e507d9801b4aebe.wav,5
17564e5c0b0c8ec5ea7f3826390c94e2.wav,5
2e60d0414e2d35df8d3b8d2b67993e85.wav,5
8428bfc92547a517bcc6fff624d1482d.wav,5
ad709093c35312f75d2a2bb05ecd31ce.wav,5
5cacb4acb0081c2f6f49e24a2efc7d16.wav,5
f8197ce9e7f2a64806bcdd738e78a575.wav,5
f3bc7f52ec2a3f7498145ceac5473280.wav,5
4032a9cd28820dee1e36b2d0d8dd8756.wav,5
27e6df1d7957c2dd7330063d9b497014.wav,5
26c0311e21d81fb871de9463738dc2c1.wav,5
b361912882ca6203d2e702a91fed69db.wav,5
0699d5333e0748884338249e6386fdfd.wav,5
f9fdb16c728e690b58401a8d71e98e70.wav,5
bcbea1d12e8d8ff2994ed646dde0a23e.wav,5
05257b986963ac0650a348485c547853.wav,5
ecec5452b6bcaaa2d598176ff365f96d.wav,5
47398756ed113d307c0950452bc86d2c.wav,5
538fa4807003c7815f9dd2d9c7de2ddc.wav,5
f76644b3473ac1e70c44e371f04b0bf9.wav,5
5672762bc5ff6390e044650df2b19d58.wav,5
88139a12fc32fad697df5685bb38b1cf.wav,5
821e1f7703d56df1a81466eab5169c46.wav,5
b6bd150279e869effbdc9d128f06f1f2.wav,5
85dffd2bc0d29a7345a0b40e069970cf.wav,5
2ce1899c98e6b56a71b1da5aef0db712.wav,5
4ce0608aa01a7e1286b523b8f1de2292.wav,5
efd60d6880a7c66b2903e17d3369a524.wav,5
596478d36f8e73cd5b93faaa1f136154.wav,5
3281af1bf855a5f796fa69cdb6a49728.wav,5
91158c75b2a6876583272833396c55de.wav,5
f0469002955a5d486503c4e90083fb00.wav,5
c703bf7a7b5e4d18293cd401e699d9e9.wav,5
e167021c3510fa48436e55d2da920e70.wav,5
21bb28a9efa8efc9d1aa69c034590183.wav,5
7bf3fce31975913a9c5247ab1587d171.wav,5
2fbbbbf836e53ccd1dc223cffa6baaae.wav,5
6bced6436c54ad9751be65772f795fa2.wav,5
984697eab7f185d60861a42a025c1bdf.wav,5
f7aef2626db2a90d2b1e8033986b415d.wav,5
ff4d564dd0d685cae313eec3c9739702.wav,5
c4fe37972f9b7edfbeb2a51d8451eebf.wav,5
b6524a601d9109ef12e15b799119dde4.wav,5
a90f6a03b017ea18b76530dfe802d7e7.wav,5
cf18df19ce115615a659445ae41d806d.wav,5
72cb20b1909e3a0ea181656ebf0e4262.wav,5
19d4a8bc20d4f7c246df3f72586e08ff.wav,5
a3df08a5d65799d2c65b75ce1ddd205d.wav,5
20ea442e84b9d1c185a8061adb1399fe.wav,5
db5d5663204d38171b5dead14355f891.wav,5
5fe05d8bed3ee535893cf6b211b5ec63.wav,5
f6908997c4e6018c43215c8d0f440b28.wav,5
e3d44570c00175178e445188a9b155f4.wav,5
5477b78999bdf7a70e7649ad2df19d1a.wav,5
f5aaaf6b6a1db603d6c5d2ca710253ea.wav,5
